transaction_id,customer_id,customer_name,region,product,invoice_date,shipment_date,recognition_date,quantity,sales_amount,cost_amount,return_amount,customer_tenure_days,risk_score,risk_level,risk_reasons,cutoff,post_period_return,high_value,negative_sale,margin_outlier,new_customer,date_mismatch,amount,suggested_procedure,sample_id,selection_basis,journal_id,posting_datetime,debit_account,credit_account,currency,source,user_id,user_role,is_reversal,description,period_end,weekend,late_night,round_amount,manual,management_user,rare_account_pair,reversal
,,,,,,,,,,,,,37,High,weekend; manual; management user,,,,,,,,742209.5,"Inspect journal support, preparer/approver and posting rationale",S-028,Targeted: highest risk,JE004594,2025-10-19T15:37:00,Cash,Accounts Receivable,CNY,manual,u004,Controller,False,Synthetic journal entry for audit analytics,False,True,False,False,True,True,False,False
,,,,,,,,,,,,,22,Medium,weekend; manual,,,,,,,,444490.26,"Inspect journal support, preparer/approver and posting rationale",S-029,Random: population coverage,JE002914,2025-09-27T18:51:00,Cash,Revenue,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics,False,True,False,False,True,False,False,False
,,,,,,,,,,,,,12,Low,manual,,,,,,,,1076.85,"Inspect journal support, preparer/approver and posting rationale",S-030,Random: population coverage,JE002465,2025-04-23T18:58:00,Cash,Revenue,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics,False,False,False,False,True,False,False,False
,,,,,,,,,,,,,12,Low,manual,,,,,,,,337526.62,"Inspect journal support, preparer/approver and posting rationale",S-031,Random: population coverage,JE003288,2025-07-09T13:27:00,Sales Returns,Revenue,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics,False,False,False,False,True,False,False,False
,,,,,,,,,,,,,0,Low,,,,,,,,,102450.88,"Inspect journal support, preparer/approver and posting rationale",S-032,Random: population coverage,JE001835,2025-06-30T09:08:00,Sales Returns,Inventory,CNY,subledger,u002,Accountant,False,Synthetic journal entry for audit analytics,False,False,False,False,False,False,False,False
,,,,,,,,,,,,,10,Low,weekend,,,,,,,,2168.7,"Inspect journal support, preparer/approver and posting rationale",S-033,Random: population coverage,JE004443,2025-10-19T13:28:00,Cash,Accounts Receivable,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics,False,True,False,False,False,False,False,False
,,,,,,,,,,,,,18,Medium,period end,,,,,,,,327799.12,"Inspect journal support, preparer/approver and posting rationale",S-034,Random: population coverage,JE002312,2025-12-31T14:09:00,Sales Returns,Inventory,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics,True,False,False,False,False,False,False,False
,,,,,,,,,,,,,0,Low,,,,,,,,,138869.23,"Inspect journal support, preparer/approver and posting rationale",S-035,Random: population coverage,JE003987,2025-09-02T16:52:00,Sales Returns,Revenue,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics,False,False,False,False,False,False,False,False
,,,,,,,,,,,,,0,Low,,,,,,,,,1311.26,"Inspect journal support, preparer/approver and posting rationale",S-036,Random: population coverage,JE001065,2025-06-23T11:06:00,Accounts Receivable,Revenue,CNY,subledger,u003,Senior Accountant,False,Synthetic journal entry for audit analytics,False,False,False,False,False,False,False,False
,,,,,,,,,,,,,0,Low,,,,,,,,,30100.6,"Inspect journal support, preparer/approver and posting rationale",S-037,Random: population coverage,JE002396,2025-07-30T17:45:00,Cash,Accounts Receivable,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics,False,False,False,False,False,False,False,False
,,,,,,,,,,,,,27,Medium,manual; management user,,,,,,,,12905.35,"Inspect journal support, preparer/approver and posting rationale",S-038,Random: population coverage,JE003179,2025-04-29T17:50:00,Cash,Accounts Receivable,CNY,manual,u005,CFO,False,Synthetic journal entry for audit analytics,False,False,False,False,True,True,False,False
,,,,,,,,,,,,,0,Low,,,,,,,,,18236.19,"Inspect journal support, preparer/approver and posting rationale",S-039,Random: population coverage,JE003768,2025-10-02T17:17:00,Cash,Inventory,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics,False,False,False,False,False,False,False,False
,,,,,,,,,,,,,0,Low,,,,,,,,,275669.47,"Inspect journal support, preparer/approver and posting rationale",S-040,Random: population coverage,JE002811,2025-02-13T17:43:00,Cash,Accounts Receivable,CNY,subledger,u003,Senior Accountant,False,Synthetic journal entry for audit analytics,False,False,False,False,False,False,False,False
